A Break in the Rain|1989|Toronto, Ontario, Canada
A Breath|1998|Sydney, New South Wales, Australia
A Breath of Fresh Air|2012|Owen Sound, Ontario, Canada
A Bride Comes to Yellow Sky|2013|Silver City Ghost Town & Museum, Bodfish, California, USA
A Bridge Too Far|1977|Bemmel, Lingewaard, Gelderland, Netherlands
A Bridge Without Borders|2011|East Lansing, Michigan, USA
A Bridge of Hope|2008|Universal Studios Hollywood - 1000 Universal Studios Blvd, Universal City, California, USA
A Brief Case|2006|Peabody, Massachusetts, USA
A Brief History of Orange|2010|Orange, California, USA
A Brief History of Time|1991|Cambridge, Cambridgeshire, England, UK
A Bright Past|2008|Chattanooga, Tennessee, USA
A Brighton Fire Drill|1899|Brighton, East Sussex, England, UK
A Brivele der mamen|1938|Lviv, Ukraine
A Brokedown Melody|2004|Hawaii, USA
A Broken Family|2010|Minneapolis, Minnesota, USA
A Broken Reality: Some Dreams Got Shattered|2011|Bhopal, Madhya Pradesh, India
A Broken Sole|2006|Manhattan, New York City, New York, USA
A Bronx Morning|1931|Bronx, New York City, New York, USA
A Bronx Tale|1993|Astoria, Queens, New York City, New York, USA
A Brother with Perfect Timing|1987|Cape Town, South Africa
A Brother's Kiss|1997|Harlem, Manhattan, New York City, New York, USA
A Brothers Love|2010|North Vancouver, British Columbia, Canada
A Brush Between Cowboys and Indians|1904|Bliss, Oklahoma, USA
A Brush Soaked in Carmine|2016|Sofia, Bulgaria
A Brush of Darkness|2008|Las Vegas, Nevada, USA
A Brush with Death: Street Magic|2012|Red Mile, Calgary, Alberta, Canada
A Buck Ten|2005|Ottawa, Ontario, Canada
A Bucking Broncho|1899|Ambrose Park, Brooklyn, New York City, New York, USA
A Bug and a Bag of Weed|2006|Halifax, Nova Scotia, Canada
A Bug's Life|1998|Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA
A Bulldog for Christmas|2013|Dayton, Ohio, USA
A Bullet Over Fives|2005|Sacramento, California, USA
A Bullet and a Prayer|2006|Oak Park, Michigan, USA
A Bullet for Creativity|2009|Indianapolis, Indiana, USA
A Bullet in the Arse|2003|Victoria, Australia
A Bullet in the Mind's Eye|2007|South Plainfield, New Jersey, USA
A Bullet in the Rain|2016|Pittsburgh, Pennsylvania, USA
A Bully on Elm Street|2010|Lakewood, Ohio, USA
A Bunch of Amateurs|2008|Hambleden, Buckinghamshire, England, UK
A Bunch of Keys|1915|Michigan, USA
A Buried Treasure|1913|Sydney Harbour, Sydney, New South Wales, Australia
A Bus Stop|2017|Kansas City, Missouri, USA
A Business Affair|1994|England, UK
A Busy Day in the Jungle|1912|Santa Monica, California, USA
A Cabin in Time|2008|Mojave, California, USA
A Cadaver Christmas|2011|Davenport, Iowa, USA
A Cadet Cavalry Charge|1900|Detroit, Michigan, USA
A Caixa|1994|Mouraria, Lisbon, Portugal
A Cake for Mabel|2013|Banstead, Surrey, England, UK
A Call in the Dark|2017|San Antonio Texas, USA
A Call to Arms|2009|Baghdad, Iraq
A Call to Return: The Oxycontin Story|2006|Maine, USA
A Call to the Dark|2017|Kansas and Missouri, USA
A Camp Life|2018|Texas, USA
A Can Full of Ashes|2018|Baltimore, Maryland, USA
A Canterbury Tale|1944|Chilham, Kent, England, UK
A Carjacking Gone Wrong|2007|Windsor, Ontario, Canada
A Casa Esquecida|2004|Alentejo, Portugal
A Casa ao Lado|2011|Sintra, Portugal
A Casa do Girassol Vermelho|2018|Vespasiano, Minas Gerais, Brazil
A Casa dos Mortos|2009|Salvador, Bahia, Brazil
A Case of Deceit|2011|Cornwall, Ontario, Canada
A Cast of Characters|2015|Portland, Oregon, USA
A Casual Affair|2015|San Antonio, Texas, USA
A Cat's Tale|2014|North Hollywood, Los Angeles, California, USA
A Catastrophe of Men|2005|Akron, Ohio, USA
A Cathedral in Our Time|1967|Liverpool, Merseyside, England, UK
A Cattle Rustler's Father|1911|Lake Tahoe, California, USA
A Cavalry Manoeuvre|1901|Wawona, Yosemite National Park, California, USA
A Celebration is a Celebration is a Celebration is a Celebration|2013|Woodstock, New York, USA
A Celebrity|2017|Washington, DC, USA
A Century of Oil|1991|Assam, India
A Certain Circumvention|2008|Lawrence, Kansas, USA
A Certain Darkness|2008|Stamford, Connecticut, USA
A Certain Liberation|2003|Kopilmoni, Bangladesh
A Certain Sacrifice|1985|Brooklyn Bridge, New York City, New York, USA
A Chain of Unfavorable Events|2013|Bergen, Hordaland, Norway
A Chair Fit for an Angel|2014|Helsinki, Finland
A Chair with a View|2008|Strickland House, Vaucluse, Sydney, New South Wales, Australia
A Challenge for Robin Hood|1967|Bodiam Castle, Bodiam, East Sussex, England, UK
A Chance Encounter|2010|Venice, Los Angeles, California, USA
A Chance Meeting|2014|Asbury Park, New Jersey, USA
A Chance in Hell|2011|Elgin, Illinois, USA
A Change Is Gonna Come|2006|Bobby's Coffee Shop - 22821 Ventura Blvd., Woodland Hills, Los Angeles, California, USA
A Change in the Wind|1971|Fire Island, Long Island, New York, USA
A Change of Heart|1909|Greenwich, Connecticut, USA
A Change of Heart with Ram Dass|1994|Oakland, California, USA
A Change of Plans|2001|Fort Wayne, Indiana, USA
A Change of Seasons|1980|Dartmouth College, Hanover, New Hampshire, USA
A Chapter of Men|2012|Aurora, Ontario, Canada
A Charge by Cavalry|1898|Tampa, Florida, USA
A Charge of the Insurgents|1900|Calamba, Laguna, Philippines
A Charman Event|2008|Victoria, British Columbia, Canada
A Cheyenne Brave|1910|S & M Ranch, Santiago Canyon, California, USA
A Child Is Waiting|1963|Pomona, California, USA
A Child Is a Wild Young Thing|1976|Brittany, France
A Child in These Hills|2014|Sudbury, Suffolk, England, UK
A Child of the Ghetto|1910|Westerfield, Connecticut, USA
A Child of the West|1912|San Rafael, California, USA
A Child's Christmas in Texas|2010|Bastrop, Texas, USA
A Child's Impulse|1910|Westfield, New Jersey, USA
A Child's Laugh|2007|Santa Monica Pier, Santa Monica, California, USA
A Children's Message to the World|2017|Seale Hayne, Newton Abbot, UK
A Children's Paradise|1911|Mont Lawn, Nyack-on-the-Hudson, New York City, New York, USA
A Chorus Line|1985|Helen Hayes Theater - 240 West 44th Street, Manhattan, New York City, New York, USA
A Chorus of Disapproval|1989|East Sandgate, Scarborough, North Yorkshire, England, UK
A Chosen Family|2014|Illinois, USA
A Christmas Carol|1908|Essanay Studios - 1333-45 W. Argyle Street, Uptown, Chicago, Illinois, USA
A Christmas Carol Radio Show|2013|San Miguel de Allende, Guanajuato, Mexico
A Christmas Carrot|2009|Hastings-on-Hudson, New York, USA
A Christmas Cop|2018|Oslo, Norway
A Christmas Noir|2012|Chelsea, Manhattan, New York City, New York, USA
A Christmas Prayer|2010|Columbia, Missouri, USA
A Christmas Scream|2010|Bloomington, Indiana, USA
A Christmas Snow|2010|Tulsa, Oklahoma, USA
A Christmas Star|2016|Belfast, County Antrim, Northern Ireland, UK
A Christmas Story at the Vatican|1991|Rome, Lazio, Italy
A Christmas Treat|1985|Metuchen, New Jersey, USA
A Christmas Tree Miracle|2013|Wheeling, West Virginia, USA
A Christmas Wish|2012|Ayr, South Ayrshire, Scotland, UK
A Christmas in New York|2016|Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA
A Chump at Oxford|1940|Canon Drive, Beverly Hills, California, USA
A Chump's Christmas|2015|Salt Spring Island, British Columbia, Canada
A Cidade do Futuro|2016|Serra do Ramalho, Brazil
A Ciegas|2013|Tijuana, Baja California Norte, Mexico
A Cigar at the Beach|2006|Delray Beach, Florida, USA
A Cigarette for Two|2009|Suberg, Grossaffoltern, Kanton Bern, Switzerland
A Cigarette for the Road|2012|Florence, Tuscany, Italy
A Cinderella Named Elizabeth|1965|Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA
A Cinderella Story|2004|Monrovia, California, USA
A Cinnamon Roll Story|1999|Arcadia, California, USA
A Circle for Two|2010|Burgas, Bulgaria
A Circle on the Cross|2008|LaGrange, Georgia, USA
A Circus Romance|1916|Albany, Georgia, USA
A City Is a Place to Call Home|2010|Copenhagen, Denmark
A City Sings|1946|Winnipeg, Manitoba, Canada
A City Speaks|1947|Manchester, Greater Manchester, England, UK
A City in History|1966|Hyderabad, Telangana, India
A City's Child|1971|Brighton, Melbourne, Victoria, Australia
A Civil Action|1998|Beacon Hill, Boston, Massachusetts, USA
A Civil Matter|2011|Gainesville, Texas, USA
A Classic Story|2011|Delhi, India
A Classic Tale: From Flabby to Fantastic|2011|Columbus, Ohio, USA
A Cleansing|2011|Margate, Kent, England, UK
A Clear Day and No Memories|2002|Port Townsend, Washington, USA
A Clear View|2005|La Mirada, California, USA
A Climate for Killing|1991|Yuma, Arizona, USA
A Clockwork Orange|1971|Chelsea Embankment, Chelsea, London, England, UK
A Clockwork Titty or One Flew Over the Bed|2008|Bucharest, Romania
A Close Call|1901|Sandy Hook, New Jersey, USA
A Closed Book|2009|Knebworth House, Stevenage, Hertfordshire, England, UK
A Closet Case|2008|Manor, Texas, USA
A Cloud to Walk On|2016|Hamilton, Ontario, Canada
A Club with Three Members|1980|Northern Territory, Australia
A Cobra de Fogo|2000|Porto Alegre, Rio Grande do Sul, Brazil
A Cock and Bull Story|2005|Blickling Hall, Blickling, Norfolk, England, UK
A Cold Day in Hell|2011|Augusta, Georgia, USA
A Cold Day to Die|2005|Ontario, Canada
A Cold Morning in November|2014|Amman, Jordan
A Collaboration of Efforts|2013|Maryville, Tennessee, USA
A Collection of Chemicals|2009|Moorestown, New Jersey, USA
A Colorful Romance|2012|Weehawken, New Jersey, USA
A Comedy|2016|Laconia, New Hampshire, USA
A Comic Ricksha Race|1898|Johannesburg, South Africa
A Coming Day|2013|Beaumont, Texas, USA
A Common Confusion|2012|East Village, Manhattan, New York City, New York, USA
A Common Man|2013|Colombo, Western Province, Sri Lanka
A Common Thread|2012|Lakeland, Florida, USA
A Composite Picture of the Principal Buildings in Washington, D.C.|1901|Washington, District of Columbia, USA
A Concert for Hope|2009|Stanford, California, USA
A Confident Man|2012|Baden, Kanton Aargau, Switzerland
A Congregation of Ghosts|2009|Falmouth, Cornwall, England, UK
A Conquista de Faro|2005|Algarve, Portugal
A Considerate Husband|2015|Pennsylvania, USA
A Consultation|2016|Brooklyn, New York, USA
A Contenda|1998|Sergipe, Brazil
A Continental Evening|1930|Camden, New Jersey, USA
A Contour State of Mind|2007|Ruislip, Middlesex, England, UK
A Contribution|2012|Hackney Marshes, Hackney, London, England, UK
A Contribution to Meatloaf|2011|East Providence, Rhode Island, USA
A Controversial Classic|2017|Berkeley, California, USA
A Conversation|2009|Louisville, Kentucky, USA
A Conversation to Remember|2010|Sherman Oaks, Los Angeles, California, USA
A Conversation with Danny Elfman and Tim Burton|2011|AIR Studios, Lyndhurst Hall, Hampstead, London, England, UK
A Conversation with David Mack|2011|Kentucky, USA
A Conversation with Ellen Burstyn and Diane Ladd|2015|Ojai, California, USA
A Conversation with George Takei|1995|Japanese American National Museum, Los Angeles, California, USA
A Conversation with Ken Kesey|1995|Eugene, Oregon, USA
A Conversation with Merle Allin|2012|Avon, Connecticut, USA
A Conversation with My Addiction|2016|Glasgow, Scotland, UK
A Convict's Sacrifice|1909|Fort Lee, New Jersey, USA
A Convolution of Imagined Histories|2008|College Park, Georgia, USA
A Cool, Dry Place|1998|Brampton, Ontario, Canada
A Coorial on the Orinoco|1918|Orinoco River, Venezuela
A Corner in Colleens|1916|Inceville, Santa Ynez Canyon, Los Angeles, California, USA
A Corte do Norte|2008|Alfeite, Almada, Portugal
A Counter Fancy|1994|New Paltz, New York, USA
A Country Called Home|2015|Smithville, Texas, USA
A Country Christmas|2013|Arizona, USA
A Country Mile|1973|Kansas, USA
A Country Road|2016|Winston Salem, North Carolina, USA
A Couple|2011|Frankfurt am Main, Hessen, Germany
A Couple of Bitches|2005|East Rockaway, Long Island, New York, USA
A Couple of Things You Didn't Know About the Golden Gate Bridge|2011|Golden Gate Bridge, San Francisco, California, USA
A Couple of White Guys Sittin' Around Talkin'|2012|Penfield, New York, USA
A Couple on the Side|2003|Palm Springs, California, USA
A Court in the Car|1992|County Monaghan, Ireland
A Cova|2011|Almada, Almada, Portugal
A Cow and a Salad|1991|Woodland Hills, Los Angeles, California, USA
A Cowboy's Mother-in-Law|1910|Colorado, USA
A Coxless Pair|2010|Camden Palace, Cork City, Ireland
A Crashing Wall|2014|Madison, Wisconsin, USA
A Cricket in the Spotlight|2015|Tempe, Arizona, USA
A Crimson Man|2017|Malibu, California, USA
A Crocus Bloomed|2004|Bohemia, Long Island, New York, USA
A Crooked Line|2012|Louisiana, USA
A Crow in My Head|2014|Kyle, Texas, USA
A Crowded Course|1899|Henley-on-Thames, Oxfordshire, England, UK
A Cruel Chapter|2016|Westfield, Massachusetts, USA
A Crumbling Friend|2009|Pasadena, California, USA
A Cry from the Grave|1999|Srebrenica, Bosnia-Herzegovina
A Cry in the Wild|1990|Quincy, California, USA
A Crystal Carol|2017|Lower Austria, Austria
A Cuckoo in the Nest|1933|Red Lion Inn, Avebury, Wiltshire, England, UK
A Culture of Health in the San Luis Valley|2016|San Luis Valley, Colorado, USA
A Cup of Sugar|2012|Flemington, New Jersey, USA
A Cure for Wellness|2016|Schraplau, Saxony-Anhalt, Germany
A Cure for Writer's Block|2005|Southern California, California, USA
A Curious Shower|2005|Jericho Beach, Vancouver, British Columbia, Canada
A Dama de Chandor|1999|Goa, India
A Dame Called Humidity|2013|New Orleans, Louisiana, USA
A Damn Killer|2010|Alexanderplatz, Mitte, Berlin, Germany
A Dance for Grace|2010|3 Liberty Green Bed & Breakfast, Clinton, Connecticut, USA
A Dance in the Garden Reminds Me|2011|Port Adelaide, South Australia, Australia
A Dance with Andrea|2012|Staten Island, New York City, New York, USA
A Dance with Friends|2001|Melbourne, Victoria, Australia
A Dandy in Aspic|1968|Loseley Park, Guildford, Surrey, England, UK
A Dangerous Age|1957|Bolton, Ontario, Canada
A Dangerous Gamble|2016|Maryland, USA
A Dangerous Summer|1982|Blue Mountains, New South Wales, Australia
A Dangerous Wager|1913|Glendale, California, USA
A Daring Daylight Burglary|1903|Sheffield, South Yorkshire, England, UK
A Daring Southern California Hold Up|1906|Rubio Canyon, California, USA
A Dark Night at the Wrong House|2014|Cincinnati, Ohio, USA
A Dark Place|2012|Huntingdon, Pennsylvania, USA
A Dark Song|2016|Dublin, Ireland
A Dark Tale|2013|Oldway Mansion, Paignton, Devon, England, UK
A Dark Truth|2012|North Bay, Ontario, Canada
A Darker Shade of Blue|2013|Clearwater, Florida, USA
A Darker Shade of Gray|2009|Savannah, Georgia, USA
A Darker Shade of Night|2017|Shelby, North Carolina, USA
A Darker Shade of Red|2010|Basingstoke, Hampshire, England, UK
A Darker Shade of Wight|2012|Isle of Wight, England, UK
A Date|2010|Newport, Newport, Wales, UK
A Dating Game|2012|Mumbai, Maharashtra, India
A Daughter of the Gods|1916|Kingston, Jamaica
A Daughter of the Sea|1915|Block Island, Rhode Island, USA
A Daughter's Loss|2017|Pasco County, Florida, USA
A Day Into the Bulge|2014|Bastogne, Belgium
A Day Like a Week|2017|Geneva, Switzerland
A Day Off|1917|Jacksonville, Florida, USA
A Day Out|2001|Barry Island, Barry, Vale of Glamorgan, Wales, UK
A Day Out with Gordy|2002|Great Falls, Montana, USA
A Day Out with Gwyn|2005|Cardiff, South Glamorgan, Wales, UK
A Day as Headmaster|2015|Pomfret, Connecticut, USA
A Day at Granny's|2015|Henrietta, New York, USA
A Day at West Point Military Academy, New York|1911|United States Military Academy, West Point, New York, USA
A Day at the Beach|2013|Sigatoka, Viti Levu, Fiji
A Day at the Calgary Zoo|1965|Calgary, Alberta, Canada
A Day at the Driving Range|2003|White Plains, New York, USA
A Day at the Goat Races|2004|Falmouth, Pennsylvania, USA
A Day at the Newseum 3D|2010|Newseum - 555 Pennsylvania Ave. NW, Washington, District of Columbia, USA
A Day at the Races|1937|Santa Anita Park & Racetrack - 285 West Huntington Drive, Arcadia, California, USA
A Day for Danny|2006|Prague, Czech Republic
A Day in Arkham|2015|Feeding Hills, Massachusetts, USA
A Day in Pacific Rim|1978|Pacific Rim National Park, Vancouver Island, British Columbia, Canada
A Day in Tokyo|2008|Tokyo, Japan
A Day in Trinidad, Land of Laughter|1957|Port-of-Spain, Trinidad, Trinidad and Tobago
A Day in Venice|1933|Venice, Veneto, Italy
A Day in the Death of Joe Egg|1972|Clifton, Bristol, England, UK
A Day in the Dirt|2009|Nymagee, New South Wales, Australia
A Day in the Life|2002|Tennessee, USA
A Day in the Life at Superior Donuts with Jermaine Fowler|2017|CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA
A Day in the Life of Frostburg|2012|Frostburg, Maryland, USA
A Day in the Life of Gabriel R.|2011|Munich, Bavaria, Germany
A Day in the Life of Ryan|2007|Bedford, Texas, USA
A Day in the Life of Victor Darby|2008|Margate City, New Jersey, USA
A Day in the Life of a Coal Miner|1910|Wigan, Lancashire, England, UK
A Day in the Life of a Diabetic|2010|Enfield, Middlesex, England, UK
A Day in the Life of a Drug Dealer|2009|Providence, Rhode Island, USA
A Day in the Life of a Professional Wrestler|2010|Little Rock, Arkansas, USA
A Day in the Life of a Psychopath|2007|Guelph, Ontario, Canada
A Day in the Life of a TV Extra|2009|Dumbarton, West Dunbartonshire, Scotland, UK
A Day in the Life of a Werewolf|2010|Tustin, California, USA
A Day in the Life of an Actor|2017|Brisbane, Queensland, Australia
A Day in the Life of an Elvis Fan|2011|Tupelo, Mississippi, USA
A Day in the Life: The Chronicles of Matthew|2011|Broadfield, Catonsville, Maryland, USA
A Day in the Park|2011|St. Charles, Missouri, USA
A Day in the Warsaw Ghetto: A Birthday Trip in Hell|1991|Warsaw, Mazowieckie, Poland
A Day of Fury|1956|Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA
A Day of Judgment|1981|Wilmington, North Carolina, USA
A Day of a Ballerina|2016|Antalya, Turkey
A Day on Treasure Island|1939|San Francisco Bay, California, USA
A Day with Dawn|2011|Nantucket, Massachusetts, USA
A Day with Governor Whitman|1916|Albany, New York, USA
A Day with Neil|2015|Bossier Parish, Louisiana, USA
A Day with Sofia|2013|Gastown, Vancouver, British Columbia, Canada
A Day with Timmy Page|1969|Storrs, Connecticut, USA
A Day with Us|2010|Brentwood, California, USA
A Day with Zaha Hadid|2004|Vienna, Austria
A Day's Pleasure|1919|Los Angeles Harbor, San Pedro, Los Angeles, California, USA
A De shen ming|1994|Hong Kong, China
A Dead Girl's Prerogative|2014|Jersey City, New Jersey, USA
A Deadly Compromise|2000|Genoa, Liguria, Italy
A Deadly Obsession|2012|Massachusetts, USA
A Deal with the Devil|2013|Flint, Michigan, USA
A Death in the Family|1987|Auckland, New Zealand
A Death in the Woods|2007|Debary, Florida, USA
A Debt in the Life|2009|Inwood, Manhattan, New York City, New York, USA
A Debtor to the Law|1919|Stroud, Oklahoma, USA
A Deceitful Summer|2016|Berkshire, England, UK
A Deceiver's Honor|2010|Coeur d'Alene, Idaho, USA
A Decent Factory|2004|Espoo, Finland
A Decent Proposal|2014|Birmingham, West Midlands, England, UK
A Deeper Shade of Soul|2006|Glassboro, New Jersey, USA
A Degree of Justice|2012|Toronto, Canada
A Demon Within|2017|Watseka, Illinois, USA
A Demon for Trouble|1934|Alabama Hills, Lone Pine, California, USA
A Desert Rose|2019|Valley of Fire, Nevada, USA
A Desperate Deed|2011|Central Coast, New South Wales, Australia
A Destructive Manner|2012|Oklahoma City, Oklahoma, USA
A Detached World|2017|Fairfield, Connecticut, USA
A Devastated City|1902|Paterson, New Jersey, USA
A Devilish Dream|1915|Crown City Film Manufacturing Company, Pasadena, California, USA
A Devonshire Fair|1903|Devon, England, UK
A Diamond in the Buff|2017|Buffalo, New York, USA
A Diamond in the Rough|1911|Santa Cruz, California, USA
A Different American Dream|2016|North Dakota, USA
A Different Conversation|2009|Durham, North Carolina, USA
A Different Face|2011|Kabul, Afghanistan
A Different Kind of Humor|2009|West Hollywood, California, USA
A Different Loyalty|2004|Red Square, Moscow, Russia
A Different Request|2008|Turin, Piedmont, Italy
A Dinner Engagement|2010|Waltham, Massachusetts, USA
A Dinner with Alex Jones|2004|Plymouth, Michigan, USA
A Dinosaur Love Story|2010|Bentley College - 175 Forest Street, Waltham, Massachusetts, USA
